velocidad_bala,distancia,bala_y,h1,h2,h3,h4,h5,h6,h7,h8,accion
-11.0,706.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,695.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,684.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,673.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,662.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,651.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,640.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,629.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,618.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,607.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,596.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,585.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,574.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,563.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,552.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,541.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,530.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,519.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,508.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,497.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,486.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,475.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,464.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,453.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,442.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,431.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,420.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,409.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,398.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,387.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,376.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2
-11.0,365.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2
